DateTime,Holiday,HolidayFlag,DayOfWeek,WeekOfYear,Day,Month,Year,PeriodOfDay,ForecastWindProduction,SystemLoadEA,SMPEA,ORKTemperature,ORKWindspeed,CO2Intensity,ActualWindProduction,SystemLoadEP2,SMPEP2
01-11-2011 00:00,None,0,1,44,1,11,2011,0,315.31,3388.77,49.26,6,9.3,600.71,356,3159.6,54.32
01-11-2011 00:30,None,0,1,44,1,11,2011,1,321.8,3196.66,49.26,6,11.1,605.42,317,2973.01,54.23
01-11-2011 01:00,None,0,1,44,1,11,2011,2,328.57,3060.71,49.1,5,11.1,589.97,311,2834,54.23
01-11-2011 01:30,None,0,1,44,1,11,2011,3,335.6,2945.56,48.04,6,9.3,585.94,313,2725.99,53.47
01-11-2011 02:00,None,0,1,44,1,11,2011,4,342.9,2849.34,33.75,6,11.1,571.52,346,2655.64,39.87
01-11-2011 02:30,None,0,1,44,1,11,2011,5,342.97,2810.01,33.75,5,11.1,562.61,342,2585.99,39.87
01-11-2011 03:00,None,0,1,44,1,11,2011,6,343.18,2780.52,33.75,5,7.4,545.81,336,2561.7,39.87
01-11-2011 03:30,None,0,1,44,1,11,2011,7,343.46,2762.67,33.75,5,9.3,539.38,338,2544.33,39.87
01-11-2011 04:00,None,0,1,44,1,11,2011,8,343.88,2766.63,33.75,4,11.1,538.7,347,2549.02,39.87
01-11-2011 04:30,None,0,1,44,1,11,2011,9,344.39,2786.8,33.75,4,7.4,540.39,338,2547.15,39.87
01-11-2011 05:00,None,0,1,44,1,11,2011,10,345.02,2817.59,33.75,4,7.4,532.3,372,2584.58,39.87
01-11-2011 05:30,None,0,1,44,1,11,2011,11,342.23,2895.62,47.42,5,5.6,547.57,361,2641.37,39.87
01-11-2011 06:00,None,0,1,44,1,11,2011,12,339.22,3039.67,44.31,5,3.7,556.14,383,2842.19,51.45
01-11-2011 06:30,None,0,1,44,1,11,2011,13,335.39,3325.1,45.14,5,3.7,590.34,358,3082.97,51.45
01-11-2011 07:00,None,0,1,44,1,11,2011,14,330.95,3661.02,46.25,4,9.3,596.22,402,3372.55,52.82
01-11-2011 07:30,None,0,1,44,1,11,2011,15,325.93,4030,52.84,5,3.7,581.52,368,3572.64,53.65
01-11-2011 08:00,None,0,1,44,1,11,2011,16,320.91,4306.54,59.44,5,5.6,577.27,361,3852.42,54.21
01-11-2011 08:30,None,0,1,44,1,11,2011,17,365.15,4438.05,62.15,6,5.6,568.76,340,4116.03,58.33
01-11-2011 09:00,None,0,1,44,1,11,2011,18,410.55,4585.84,61.81,8,7.4,560.79,358,4345.42,58.33
01-11-2011 09:30,None,0,1,44,1,11,2011,19,458.56,4723.93,61.88,9,7.4,542.8,339,4427.29,58.33
01-11-2011 10:00,None,0,1,44,1,11,2011,20,513.17,4793.6,61.46,?,?,535.37,324,4460.41,58.33
01-11-2011 10:30,None,0,1,44,1,11,2011,21,573.36,4829.44,61.28,11,13,532.52,335,4493.22,58.27
01-11-2011 11:00,None,0,1,44,1,11,2011,22,636.75,4888.29,61.63,11,22.2,534.34,372,4513.02,58.26
01-11-2011 11:30,None,0,1,44,1,11,2011,23,683.59,4936.25,62.12,11,18.5,530.08,415,4490.71,58.26
01-11-2011 12:00,None,0,1,44,1,11,2011,24,731.07,4995.51,62.83,11,22.2,517.55,513,4493.73,58.26
01-11-2011 12:30,None,0,1,44,1,11,2011,25,780.23,5044.68,60.2,11,20.4,506.83,623,4481.31,58.15
01-11-2011 13:00,None,0,1,44,1,11,2011,26,828.09,5018.8,56.25,12,20.4,513.98,683,4408.46,54.74
01-11-2011 13:30,None,0,1,44,1,11,2011,27,873.81,4916.93,56.25,11,24.1,518.96,711,4341.14,54.74
01-11-2011 14:00,None,0,1,44,1,11,2011,28,920.69,4933.87,56.25,12,22.2,525.69,761,4338.35,54.14
01-11-2011 14:30,None,0,1,44,1,11,2011,29,985.09,4978.87,56.25,11,25.9,528.47,750,4294.17,53.63
01-11-2011 15:00,None,0,1,44,1,11,2011,30,1044.37,5013.1,56.25,11,22.2,528.17,758,4318.87,53.63
01-11-2011 15:30,None,0,1,44,1,11,2011,31,1098.97,5061.1,56.25,11,24.1,513.22,805,4375.62,53.63
01-11-2011 16:00,None,0,1,44,1,11,2011,32,1148.24,5137.37,56.25,11,27.8,509.16,782,4469.73,54.74
01-11-2011 16:30,None,0,1,44,1,11,2011,33,1191.7,5325.37,56.25,11,27.8,495.57,861,4720.21,58.15
01-11-2011 17:00,None,0,1,44,1,11,2011,34,1229.56,5628.84,160.62,11,31.5,479.82,1014,5179.06,130.38
01-11-2011 17:30,None,0,1,44,1,11,2011,35,1281.93,5887.54,247.04,11,29.6,460.51,1065,5372.97,189.73
01-11-2011 18:00,None,0,1,44,1,11,2011,36,1328.42,5871.14,196.43,11,33.3,450.42,1138,5246.99,130.38
01-11-2011 18:30,None,0,1,44,1,11,2011,37,1370.76,5727.71,61.89,11,35.2,460.87,1191,5051.17,58.26
01-11-2011 19:00,None,0,1,44,1,11,2011,38,1407.5,5532.86,56.25,12,35.2,463.02,1230,4882.23,58.26
01-11-2011 19:30,None,0,1,44,1,11,2011,39,1438.24,5401.07,56.25,12,37,457.03,1279,4676.06,54.14
01-11-2011 20:00,None,0,1,44,1,11,2011,40,1464.71,5182.14,49.66,12,37,457.09,1278,4520.71,54.74
01-11-2011 20:30,None,0,1,44,1,11,2011,41,1480.69,5004.2,49.66,12,38.9,462.62,1247,4403.16,54.74
01-11-2011 21:00,None,0,1,44,1,11,2011,42,1494.24,4876.12,46.25,12,38.9,445.23,1250,4225.18,53.63
01-11-2011 21:30,None,0,1,44,1,11,2011,43,1505.4,4622.8,46.25,12,42.6,463.86,1246,4000.62,54.74
01-11-2011 22:00,None,0,1,44,1,11,2011,44,1514.68,4417.01,46.25,12,44.4,457.84,1281,3757.52,53
01-11-2011 22:30,None,0,1,44,1,11,2011,45,1522.58,4174.11,45.14,12,51.9,409.03,1325,3536.95,53
01-11-2011 23:00,None,0,1,44,1,11,2011,46,1293.3,3974.23,45.14,12,48.2,381.35,1391,3425.87,51.61
01-11-2011 23:30,None,0,1,44,1,11,2011,47,1300.1,3844.51,44.9,12,48.2,374.14,1374,3192.47,51.61
02-11-2011 00:00,None,0,2,44,2,11,2011,0,1305.1,3591.85,44.47,12,46.3,357.17,1357,2936.4,51.45
02-11-2011 00:30,None,0,2,44,2,11,2011,1,1307.6,3366.83,44.47,12,48.2,341.24,1264,2757.26,36.53
02-11-2011 01:00,None,0,2,44,2,11,2011,2,1309.9,3197.92,44.31,12,48.2,354.87,1116,2645.58,36.53
02-11-2011 01:30,None,0,2,44,2,11,2011,3,1310.8,3091.68,30.87,12,50,371.32,998,2546.5,36.53
02-11-2011 02:00,None,0,2,44,2,11,2011,4,1311.2,2978.13,30.87,12,42.6,387.3,886,2465.26,5.66
02-11-2011 02:30,None,0,2,44,2,11,2011,5,1308.9,2928.29,30.87,12,50,400.07,816,2419.12,5.66
02-11-2011 03:00,None,0,2,44,2,11,2011,6,1306,2864.87,30.87,12,50,411.8,747,2416.97,5.66
02-11-2011 03:30,None,0,2,44,2,11,2011,7,1301.4,2837.06,30.87,12,44.4,417.81,751,2419.49,5.66
02-11-2011 04:00,None,0,2,44,2,11,2011,8,1298,2826.59,30.87,12,50,416.04,765,2431.44,5.66
02-11-2011 04:30,None,0,2,44,2,11,2011,9,1294.8,2823.85,30.87,12,48.2,418.83,735,2425.62,5.66
02-11-2011 05:00,None,0,2,44,2,11,2011,10,1292.3,2878.57,30.87,12,50,419.19,751,2476.72,36.53
02-11-2011 05:30,None,0,2,44,2,11,2011,11,1290.1,2947.63,30.87,12,51.9,425.83,709,2515.88,36.53
02-11-2011 06:00,None,0,2,44,2,11,2011,12,1289.6,3118.35,29.96,12,51.9,413.33,760,2658.52,29.95
02-11-2011 06:30,None,0,2,44,2,11,2011,13,1289.6,3403.57,44.31,12,50,380.44,934,2883.79,42.8
02-11-2011 07:00,None,0,2,44,2,11,2011,14,1287.3,3827.88,46.58,12,53.7,375.18,1078,3251.61,44.3
02-11-2011 07:30,None,0,2,44,2,11,2011,15,1286,4271.47,52.59,12,55.6,404.33,1143,3454.44,44.3
02-11-2011 08:00,None,0,2,44,2,11,2011,16,1284.1,4515.13,55.61,12,51.9,425.09,1150,3713.34,50.6
02-11-2011 08:30,None,0,2,44,2,11,2011,17,1282.7,4615.31,55.04,12,48.2,431.74,1251,3920.53,48.8
02-11-2011 09:00,None,0,2,44,2,11,2011,18,1281,4707.88,55.04,13,50,456.66,1293,4132.04,50.65
